,Name,Year,Mileage,Count Raiting,Rating,Fuel type,Interior color,Exterior_color,Price,bind_price
0,Toyota Corolla LE,2019,47644.0,1632.0,4.8,0, Black , Slate Metallic ,19991.0,4
1,Toyota Corolla LE,2018,38971.0,272.0,4.6,0, Ash , Red ,18700.0,4
2,Toyota Corolla LE,2018,73147.0,245.0,3.4,0, Black , Tan ,14800.0,3
4,Toyota Corolla LE,2015,88010.0,929.0,4.7,0, Ash , Classic Silver Metallic ,15985.0,4
5,Toyota Corolla LE,2018,47680.0,1032.0,4.7,0, Ash , Super White ,20000.0,4
6,Toyota Corolla LE,2019,18805.0,1619.0,4.6,0, Black , Falcon Gray Metallic ,20900.0,5
8,Toyota Corolla LE,2019,50513.0,1632.0,4.8,0, Gray , Classic Silver Metallic ,20090.0,5
10,Toyota Corolla LE,2017,49752.0,42.0,3.2,0, Black , Falcon Gray Metallic ,13899.0,3
11,Toyota Corolla LE,2019,16304.0,776.0,4.6,0, Black , Black Sand Pearl ,23215.0,5
12,Toyota Corolla LE,2017,49755.0,3285.0,4.8,0, Black , Blizzard Pearl ,17855.0,4
13,Toyota Corolla LE,2019,44753.0,2822.0,4.8,0, Black , Slate Metallic ,18999.0,4
14,Toyota Corolla LE,2019,19006.0,1092.0,4.6,0, Ash , Slate Metallic ,20944.0,5
16,Toyota Corolla LE,2020,44598.0,1.0,5.0,0, Black , Black ,19995.0,4
17,Toyota Corolla LE,2018,17021.0,2570.0,4.4,0, Ash , Super White ,18991.0,4
19,Toyota Corolla LE,2017,39804.0,775.0,4.7,0, Black , Slate Metallic ,22450.0,5
20,Toyota Corolla LE,2019,16082.0,1182.0,4.7,0, Ash , Slate Metallic ,21600.0,5
21,Toyota Corolla LE,2017,19968.0,3358.0,4.8,0, Black , Blue Crush Metallic ,19971.0,4
22,Toyota Corolla LE,2019,35816.0,1314.0,4.7,0, Ash , Galactic Aqua ,20123.0,5
23,Toyota Corolla LE,2019,31607.0,308.0,4.7,0, Black , Galactic Aqua ,20500.0,5
24,Toyota Corolla LE,2019,71783.0,761.0,4.4,0, Black , Barcelona Red Metallic ,19700.0,4
25,Toyota Corolla LE,2021,18233.0,1616.0,4.5,0, Black , CELESTITE ,23374.0,5
26,Toyota Corolla LE,2019,44324.0,2671.0,4.7,0, Black , Slate Metallic ,19998.0,4
27,Toyota Corolla LE,2019,44282.0,1092.0,4.6,0, Black , Classic Silver Metallic ,20368.0,5
28,Toyota Corolla LE,2021,10337.0,1182.0,4.7,0, Black , CELESTITE ,24312.0,5
29,Toyota Corolla LE,2020,46068.0,146.0,4.9,0, Black , CELESTITE ,20829.0,5
30,Toyota Corolla LE,2018,88095.0,373.0,4.0,0, Black , Classic Silver Metallic ,19255.0,4
33,Toyota Corolla LE,2019,12900.0,3078.0,4.8,0, Almond , Slate Metallic ,19994.0,4
35,Toyota Corolla LE,2015,155122.0,126.0,4.4,0, Steel Gray , Green ,12000.0,3
37,Toyota Corolla LE,2020,17017.0,456.0,4.3,0, Light Gray , CELESTITE ,24288.0,5
38,Toyota Corolla LE,2019,45304.0,2478.0,4.8,0, Black , Falcon Gray Metallic ,20200.0,5
